 15-1-2024, 21:36:41 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHAG7qY1wXF1h1dt5c0LYKPnYANnJPOMbVN6X8mtPH4ilh9hxAOB7AjlmU8b4oQe0w&scope=email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
 15-1-2024, 21:37:24 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:37:25 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHBBxvqLnV87INXmbw6Dm3_EtMwZSv_z8f0CLKuE2i-5MwhTUtTGKuxYbVH5WEKZFA&scope=email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
 15-1-2024, 21:38:14 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:38:15 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHC6RA3R0aPpIAte7BZQV3BD21UWMi0Nmb_ig6wcJraoTGVR_Ap-JwXvnd-nAJm4XA&scope=email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&prompt=none
 15-1-2024, 21:38:40 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:38:41 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHDo71JTob2gx82w--TgBgMpSpo58S5m_mY3xHK3QDsBY_3uQ6nto_gRGRsiAFeL6w&scope=email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
 15-1-2024, 21:39:02 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:39:03 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHAfy_UiQYQRNojyqLBaQlh8fhbSkNvR7p2WYiBa-Fro3sBJzxqcKLD0cGluc3S8iw&scope=email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
 15-1-2024, 21:47:35 GMT+0530    |   POST /api/v1/auth/register
 15-1-2024, 21:48:16 GMT+0530    |   POST /api/v1/auth/register
 15-1-2024, 21:48:51 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:48:51 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHBOH8NS5gfbb0hI81lGM5rl68M-41ktqhlvN1xStHHj3a9f1RjSc9KqDVu64V3BPQ&scope=email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
 15-1-2024, 21:49:23 GMT+0530    |   POST /api/v1/auth/register
 15-1-2024, 21:49:39 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:49:40 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHDuhE5LsnqDM5e6aA7e2SLiQjRFNv6nB-UguaV0fjqryZhA0M7poj4DzKAREvLCcA&scope=email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
 15-1-2024, 21:50:27 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:50:28 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHC1IsfWWvjzrJDkLcqPcf5WcWPmkRjKdYvgAOeCf5KcjlWaEfoM5PXCA2Ue382NxQ&scope=email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&prompt=none
